sample,matched_correct_relpath,rank_of_correct,total_candidates
1062_z.npy,airplane_test_1062_z.npy,1,5
1209_z.npy,airplane_test_1209_z.npy,3,5
1265_z.npy,airplane_test_1265_z.npy,2,5
1300_z.npy,airplane_test_1300_z.npy,3,5
1353_z.npy,airplane_test_1353_z.npy,3,5
1419_z.npy,airplane_test_1419_z.npy,4,5
1543_z.npy,airplane_test_1543_z.npy,2,5
1558_z.npy,airplane_test_1558_z.npy,5,5
1559_z.npy,airplane_test_1559_z.npy,4,5
1586_z.npy,airplane_test_1586_z.npy,5,5
1603_z.npy,airplane_test_1603_z.npy,2,5
1617_z.npy,airplane_test_1617_z.npy,3,5
1645_z.npy,airplane_test_1645_z.npy,2,5
1739_z.npy,airplane_test_1739_z.npy,2,5
1946_z.npy,airplane_test_1946_z.npy,1,5
1965_z.npy,airplane_test_1965_z.npy,3,5
2071_z.npy,airplane_test_2071_z.npy,5,5
2394_z.npy,airplane_test_2394_z.npy,1,5
390_z.npy,airplane_test_390_z.npy,5,5
518_z.npy,airplane_test_518_z.npy,3,5
