sample,matched_correct_relpath,rank_of_correct,total_candidates
1158_z.npy,angel_test_1158_z.npy,3,5
1290_z.npy,angel_test_1290_z.npy,3,5
1349_z.npy,angel_test_1349_z.npy,2,5
141_z.npy,angel_test_141_z.npy,5,5
1525_z.npy,angel_test_1525_z.npy,5,5
1669_z.npy,angel_test_1669_z.npy,4,5
171_z.npy,angel_test_171_z.npy,4,5
1819_z.npy,angel_test_1819_z.npy,1,5
1848_z.npy,angel_test_1848_z.npy,5,5
1991_z.npy,angel_test_1991_z.npy,2,5
2042_z.npy,angel_test_2042_z.npy,1,5
207_z.npy,angel_test_207_z.npy,5,5
2181_z.npy,angel_test_2181_z.npy,4,5
2242_z.npy,angel_test_2242_z.npy,2,5
2499_z.npy,angel_test_2499_z.npy,4,5
404_z.npy,angel_test_404_z.npy,3,5
612_z.npy,angel_test_612_z.npy,3,5
71_z.npy,angel_test_71_z.npy,4,5
944_z.npy,angel_test_944_z.npy,5,5
993_z.npy,angel_test_993_z.npy,2,5
