sample,matched_correct_relpath,rank_of_correct,total_candidates
1094_z.npy,apple_test_1094_z.npy,2,5
1242_z.npy,apple_test_1242_z.npy,1,5
1364_z.npy,apple_test_1364_z.npy,4,5
1517_z.npy,apple_test_1517_z.npy,2,5
1577_z.npy,apple_test_1577_z.npy,1,5
1627_z.npy,apple_test_1627_z.npy,2,5
1652_z.npy,apple_test_1652_z.npy,2,5
192_z.npy,apple_test_192_z.npy,1,5
1993_z.npy,apple_test_1993_z.npy,1,5
2014_z.npy,apple_test_2014_z.npy,2,5
2275_z.npy,apple_test_2275_z.npy,1,5
278_z.npy,apple_test_278_z.npy,2,5
455_z.npy,apple_test_455_z.npy,3,5
615_z.npy,apple_test_615_z.npy,4,5
61_z.npy,apple_test_61_z.npy,4,5
652_z.npy,apple_test_652_z.npy,3,5
675_z.npy,apple_test_675_z.npy,4,5
694_z.npy,apple_test_694_z.npy,3,5
708_z.npy,apple_test_708_z.npy,2,5
993_z.npy,apple_test_993_z.npy,1,5
