sample,matched_correct_relpath,rank_of_correct,total_candidates
1088_z.npy,belt_test_1088_z.npy,2,5
1208_z.npy,belt_test_1208_z.npy,5,5
128_z.npy,belt_test_128_z.npy,3,5
1344_z.npy,belt_test_1344_z.npy,2,5
1490_z.npy,belt_test_1490_z.npy,1,5
1753_z.npy,belt_test_1753_z.npy,5,5
1803_z.npy,belt_test_1803_z.npy,2,5
1806_z.npy,belt_test_1806_z.npy,5,5
1886_z.npy,belt_test_1886_z.npy,3,5
193_z.npy,belt_test_193_z.npy,5,5
2257_z.npy,belt_test_2257_z.npy,1,5
2482_z.npy,belt_test_2482_z.npy,2,5
248_z.npy,belt_test_248_z.npy,2,5
318_z.npy,belt_test_318_z.npy,2,5
376_z.npy,belt_test_376_z.npy,3,5
476_z.npy,belt_test_476_z.npy,1,5
632_z.npy,belt_test_632_z.npy,4,5
687_z.npy,belt_test_687_z.npy,1,5
88_z.npy,belt_test_88_z.npy,4,5
977_z.npy,belt_test_977_z.npy,4,5
