sample,matched_correct_relpath,rank_of_correct,total_candidates
1103_z.npy,bus_test_1103_z.npy,2,5
1141_z.npy,bus_test_1141_z.npy,5,5
1230_z.npy,bus_test_1230_z.npy,5,5
1287_z.npy,bus_test_1287_z.npy,2,5
1292_z.npy,bus_test_1292_z.npy,1,5
1420_z.npy,bus_test_1420_z.npy,2,5
1529_z.npy,bus_test_1529_z.npy,3,5
1577_z.npy,bus_test_1577_z.npy,2,5
1760_z.npy,bus_test_1760_z.npy,1,5
2128_z.npy,bus_test_2128_z.npy,2,5
2421_z.npy,bus_test_2421_z.npy,1,5
404_z.npy,bus_test_404_z.npy,1,5
486_z.npy,bus_test_486_z.npy,2,5
517_z.npy,bus_test_517_z.npy,3,5
545_z.npy,bus_test_545_z.npy,3,5
580_z.npy,bus_test_580_z.npy,5,5
647_z.npy,bus_test_647_z.npy,1,5
746_z.npy,bus_test_746_z.npy,4,5
772_z.npy,bus_test_772_z.npy,3,5
936_z.npy,bus_test_936_z.npy,2,5
