sample,matched_correct_relpath,rank_of_correct,total_candidates
1058_z.npy,butterfly_test_1058_z.npy,3,5
1120_z.npy,butterfly_test_1120_z.npy,1,5
1258_z.npy,butterfly_test_1258_z.npy,2,5
1408_z.npy,butterfly_test_1408_z.npy,1,5
1428_z.npy,butterfly_test_1428_z.npy,2,5
1731_z.npy,butterfly_test_1731_z.npy,3,5
1753_z.npy,butterfly_test_1753_z.npy,5,5
1855_z.npy,butterfly_test_1855_z.npy,5,5
1999_z.npy,butterfly_test_1999_z.npy,1,5
2256_z.npy,butterfly_test_2256_z.npy,2,5
2299_z.npy,butterfly_test_2299_z.npy,3,5
2339_z.npy,butterfly_test_2339_z.npy,5,5
2377_z.npy,butterfly_test_2377_z.npy,5,5
2458_z.npy,butterfly_test_2458_z.npy,1,5
282_z.npy,butterfly_test_282_z.npy,2,5
690_z.npy,butterfly_test_690_z.npy,2,5
784_z.npy,butterfly_test_784_z.npy,4,5
875_z.npy,butterfly_test_875_z.npy,3,5
883_z.npy,butterfly_test_883_z.npy,2,5
900_z.npy,butterfly_test_900_z.npy,1,5
