sample,matched_correct_relpath,rank_of_correct,total_candidates
1071_z.npy,cake_test_1071_z.npy,4,5
1111_z.npy,cake_test_1111_z.npy,1,5
1167_z.npy,cake_test_1167_z.npy,4,5
1184_z.npy,cake_test_1184_z.npy,3,5
1413_z.npy,cake_test_1413_z.npy,4,5
1603_z.npy,cake_test_1603_z.npy,4,5
1625_z.npy,cake_test_1625_z.npy,4,5
1643_z.npy,cake_test_1643_z.npy,3,5
1804_z.npy,cake_test_1804_z.npy,2,5
1848_z.npy,cake_test_1848_z.npy,4,5
1857_z.npy,cake_test_1857_z.npy,3,5
1907_z.npy,cake_test_1907_z.npy,2,5
2003_z.npy,cake_test_2003_z.npy,3,5
2174_z.npy,cake_test_2174_z.npy,2,5
2324_z.npy,cake_test_2324_z.npy,4,5
2438_z.npy,cake_test_2438_z.npy,5,5
479_z.npy,cake_test_479_z.npy,4,5
650_z.npy,cake_test_650_z.npy,4,5
84_z.npy,cake_test_84_z.npy,4,5
921_z.npy,cake_test_921_z.npy,2,5
