sample,matched_correct_relpath,rank_of_correct,total_candidates
1007_z.npy,cat_test_1007_z.npy,3,5
1080_z.npy,cat_test_1080_z.npy,5,5
1116_z.npy,cat_test_1116_z.npy,4,5
124_z.npy,cat_test_124_z.npy,2,5
1306_z.npy,cat_test_1306_z.npy,1,5
1406_z.npy,cat_test_1406_z.npy,4,5
186_z.npy,cat_test_186_z.npy,4,5
1876_z.npy,cat_test_1876_z.npy,5,5
1_z.npy,cat_test_1_z.npy,2,5
2006_z.npy,cat_test_2006_z.npy,2,5
2212_z.npy,cat_test_2212_z.npy,5,5
2408_z.npy,cat_test_2408_z.npy,3,5
273_z.npy,cat_test_273_z.npy,1,5
311_z.npy,cat_test_311_z.npy,2,5
365_z.npy,cat_test_365_z.npy,1,5
381_z.npy,cat_test_381_z.npy,1,5
554_z.npy,cat_test_554_z.npy,1,5
697_z.npy,cat_test_697_z.npy,1,5
864_z.npy,cat_test_864_z.npy,3,5
959_z.npy,cat_test_959_z.npy,4,5
