sample_folder,original_index,original_rank,original_similarity
390,390,1368,-0.010579
518,518,221,0.121069
1062,1062,1363,-0.009227
1209,1209,1255,0.002955
1265,1265,609,0.058814
1300,1300,2203,-0.105185
1353,1353,1476,-0.016690
1419,1419,138,0.139572
1543,1543,280,0.112589
1558,1558,2352,-0.134558
1559,1559,860,0.036113
1586,1586,1948,-0.066458
1603,1603,76,0.162800
1617,1617,1422,-0.017681
1645,1645,1891,-0.061843
1739,1739,1741,-0.045869
1946,1946,1589,-0.029905
1965,1965,1514,-0.022413
2071,2071,1899,-0.062700
2394,2394,882,0.032863
