sample_folder,original_index,original_rank,original_similarity
29,29,2310,-0.126918
98,98,1257,0.000306
169,169,1013,0.019109
482,482,1235,0.001199
516,516,2089,-0.090139
567,567,1492,-0.023095
599,599,972,0.027042
672,672,2345,-0.141641
692,692,556,0.064694
713,713,1535,-0.026071
792,792,1673,-0.037423
816,816,2028,-0.079679
1645,1645,157,0.135669
1681,1681,2171,-0.098787
1691,1691,482,0.072042
2061,2061,1025,0.016060
2213,2213,774,0.047641
2244,2244,169,0.131444
2310,2310,919,0.030142
2412,2412,57,0.176220
