sample_folder,original_index,original_rank,original_similarity
71,71,744,0.047951
141,141,991,0.020255
171,171,2394,-0.154981
207,207,1845,-0.054690
404,404,2247,-0.110282
612,612,562,0.064792
944,944,1421,-0.014917
993,993,2019,-0.076870
1158,1158,627,0.062357
1290,1290,1594,-0.033875
1349,1349,1610,-0.030106
1525,1525,1546,-0.022977
1669,1669,862,0.036430
1819,1819,1811,-0.051216
1848,1848,2431,-0.168027
1991,1991,1880,-0.062547
2042,2042,1475,-0.020639
2181,2181,1660,-0.037452
2242,2242,1914,-0.068355
2499,2499,1825,-0.052682
