sample_folder,original_index,original_rank,original_similarity
61,61,2212,-0.110967
192,192,699,0.050353
278,278,1524,-0.021889
455,455,1258,-0.004526
615,615,171,0.132341
652,652,605,0.057560
675,675,2452,-0.176636
694,694,2380,-0.141789
708,708,77,0.169544
993,993,404,0.086138
1094,1094,339,0.096375
1242,1242,2353,-0.140649
1364,1364,1185,0.006988
1517,1517,1201,0.006021
1577,1577,476,0.080043
1627,1627,521,0.073812
1652,1652,1127,0.014764
1993,1993,1176,0.005175
2014,2014,42,0.186296
2275,2275,903,0.034893
