sample_folder,original_index,original_rank,original_similarity
88,88,723,0.045081
128,128,985,0.021386
193,193,2350,-0.135518
248,248,2079,-0.086399
318,318,2281,-0.119494
376,376,2028,-0.081015
476,476,1879,-0.063287
632,632,1049,0.019986
687,687,1326,-0.007796
977,977,1504,-0.021645
1088,1088,917,0.027826
1208,1208,1302,-0.004531
1344,1344,2260,-0.112564
1490,1490,2179,-0.098748
1753,1753,2259,-0.113483
1803,1803,1941,-0.065478
1806,1806,2050,-0.082790
1886,1886,566,0.061640
2257,2257,1581,-0.029240
2482,2482,725,0.049275
