sample_folder,original_index,original_rank,original_similarity
404,404,1123,0.015358
486,486,2130,-0.095112
517,517,2157,-0.096288
545,545,543,0.071915
580,580,1317,-0.005336
647,647,1396,-0.014145
746,746,1751,-0.046108
772,772,387,0.093027
936,936,1906,-0.064148
1103,1103,112,0.153958
1141,1141,927,0.031910
1230,1230,2028,-0.078721
1287,1287,882,0.034089
1292,1292,1840,-0.048971
1420,1420,1514,-0.018938
1529,1529,865,0.038361
1577,1577,1945,-0.064919
1760,1760,1739,-0.046469
2128,2128,2169,-0.101194
2421,2421,196,0.121941
