sample_folder,original_index,original_rank,original_similarity
84,84,2084,-0.089165
479,479,1861,-0.066554
650,650,786,0.044648
921,921,1582,-0.029426
1071,1071,1488,-0.020741
1111,1111,557,0.068080
1167,1167,1586,-0.035762
1184,1184,1755,-0.046922
1413,1413,1538,-0.021494
1603,1603,2300,-0.122800
1625,1625,1266,0.002211
1643,1643,1544,-0.026945
1804,1804,903,0.033517
1848,1848,2407,-0.152483
1857,1857,328,0.099730
1907,1907,2347,-0.130932
2003,2003,2322,-0.124350
2174,2174,742,0.048254
2324,2324,1848,-0.056411
2438,2438,904,0.033138
