sample_folder,original_index,original_rank,original_similarity
1,1,248,0.111948
124,124,930,0.027496
186,186,996,0.024697
273,273,1993,-0.072938
311,311,1857,-0.058175
365,365,2004,-0.077280
381,381,1965,-0.069525
554,554,1851,-0.055035
697,697,407,0.091438
864,864,475,0.076322
959,959,403,0.089336
1007,1007,1922,-0.062699
1080,1080,2246,-0.115792
1116,1116,2145,-0.089183
1306,1306,254,0.114820
1406,1406,2142,-0.094636
1876,1876,1741,-0.045459
2006,2006,1059,0.015289
2212,2212,2332,-0.134254
2408,2408,1063,0.020323
