# rank	test_index	similarity
1	152	0.297093
2	295	0.277440
3	1797	0.276204
4	954	0.267591
5	1806	0.265554
6	1155	0.246951
7	714	0.245162
8	1288	0.244495
9	1245	0.241334
10	1977	0.239415
11	74	0.236116
12	238	0.234248
13	1094	0.232504
14	2421	0.223847
15	2430	0.223200
16	1393	0.222578
17	2208	0.213747
18	739	0.212072
19	420	0.208915
20	510	0.208588
21	1286	0.208362
22	1176	0.207787
23	654	0.206719
24	1046	0.205571
25	859	0.204638
26	1307	0.204002
27	403	0.201980
28	69	0.201826
29	2223	0.200626
30	724	0.197136
31	1981	0.196400
32	625	0.195199
33	1401	0.195151
34	575	0.195013
35	2079	0.194354
36	942	0.193680
37	430	0.192545
38	507	0.190927
39	940	0.190548
40	2145	0.190541
41	2490	0.189787
42	211	0.188715
43	549	0.185471
44	1801	0.184977
45	1631	0.184719
46	417	0.184241
47	994	0.184074
48	2169	0.183944
49	918	0.182025
50	320	0.181655
51	1564	0.181562
52	544	0.179667
53	203	0.178967
54	1542	0.178203
55	1640	0.178047
56	1951	0.178006
57	2339	0.177983
58	301	0.177548
59	1361	0.177129
60	427	0.176058
61	2212	0.176048
62	595	0.175295
63	913	0.174613
64	692	0.174499
65	1478	0.174373
66	1985	0.174243
67	20	0.171562
68	737	0.171458
69	937	0.170545
70	2329	0.169611
71	2217	0.169009
72	1636	0.168738
73	1695	0.168735
74	2372	0.166085
75	1072	0.165973
76	2235	0.165492
77	1767	0.164683
78	253	0.164194
79	1996	0.164140
80	1514	0.163890
81	1432	0.163887
82	60	0.163620
83	577	0.163546
84	220	0.162169
85	479	0.160768
86	254	0.160688
87	1369	0.159246
88	1641	0.159063
89	1426	0.158767
90	2052	0.158742
91	326	0.158455
92	991	0.158144
93	520	0.157777
94	2460	0.157704
95	2153	0.157656
96	11	0.157634
97	2316	0.157633
98	1876	0.156525
99	1938	0.156245
100	288	0.156241
101	1518	0.154839
102	1691	0.154020
103	381	0.153815
104	1163	0.153631
105	2333	0.153012
106	2498	0.152600
107	2477	0.151980
108	1065	0.151741
109	1376	0.151728
110	1941	0.151367
111	1600	0.151335
112	1653	0.151159
113	1984	0.151139
114	608	0.151100
115	1229	0.150291
