sample_folder,original_index,original_rank,original_similarity
76,76,1251,-0.001132
165,165,1805,-0.049485
175,175,1992,-0.076791
319,319,144,0.135885
559,559,612,0.059250
633,633,819,0.038052
696,696,624,0.063810
743,743,300,0.106608
977,977,1557,-0.026997
1067,1067,198,0.122878
1154,1154,10,0.238000
1497,1497,1617,-0.032387
1648,1648,2090,-0.091470
1660,1660,1737,-0.044027
1787,1787,1555,-0.026683
1947,1947,630,0.062066
1963,1963,479,0.072432
1986,1986,807,0.041515
2274,2274,620,0.060344
2282,2282,228,0.120743
